date_key,full_date,year,quarter,month,week,day_of_week
20260101,2026-01-01,2026,1,1,1,4
20260102,2026-01-02,2026,1,1,1,5
20260103,2026-01-03,2026,1,1,1,6
20260104,2026-01-04,2026,1,1,1,7
20260105,2026-01-05,2026,1,1,2,1
20260106,2026-01-06,2026,1,1,2,2
20260107,2026-01-07,2026,1,1,2,3
20260108,2026-01-08,2026,1,1,2,4
20260109,2026-01-09,2026,1,1,2,5
20260110,2026-01-10,2026,1,1,2,6
20260111,2026-01-11,2026,1,1,2,7
20260112,2026-01-12,2026,1,1,3,1
20260113,2026-01-13,2026,1,1,3,2
20260114,2026-01-14,2026,1,1,3,3
20260115,2026-01-15,2026,1,1,3,4
20260116,2026-01-16,2026,1,1,3,5
20260117,2026-01-17,2026,1,1,3,6
20260118,2026-01-18,2026,1,1,3,7
20260119,2026-01-19,2026,1,1,4,1
20260120,2026-01-20,2026,1,1,4,2
20260121,2026-01-21,2026,1,1,4,3
20260122,2026-01-22,2026,1,1,4,4
20260123,2026-01-23,2026,1,1,4,5
20260124,2026-01-24,2026,1,1,4,6
20260125,2026-01-25,2026,1,1,4,7
20260126,2026-01-26,2026,1,1,5,1
20260127,2026-01-27,2026,1,1,5,2
20260128,2026-01-28,2026,1,1,5,3
20260129,2026-01-29,2026,1,1,5,4
20260130,2026-01-30,2026,1,1,5,5
